19:31:24.756 | [master] | [pool-12-thread-1] | INFO  | com.example.util.EC2Utils$ | isStaticConfig = true
19:31:24.801 | [master] | [pool-12-thread-1] | INFO  | com.example.util.ClusterUtils$ | using config without binds
19:31:24.803 | [master] | [pool-12-thread-1] | INFO  | com.example.util.ClusterUtils$ | [34m---[ClusterConfig]-------------[0m
19:31:24.813 | [master] | [pool-12-thread-1] | INFO  | com.example.util.ClusterUtils$ | current=NodeConfig(192.168.10.202,2551,,)
19:31:24.813 | [master] | [pool-12-thread-1] | INFO  | com.example.util.ClusterUtils$ | name=ClusterSystem
19:31:24.815 | [master] | [pool-12-thread-1] | INFO  | com.example.util.ClusterUtils$ | NodeConfig(192.168.10.200,2551,,)
19:31:24.816 | [master] | [pool-12-thread-1] | INFO  | com.example.util.ClusterUtils$ | NodeConfig(192.168.10.200,5000,,)
19:31:24.816 | [master] | [pool-12-thread-1] | INFO  | com.example.util.ClusterUtils$ | NodeConfig(192.168.10.200,3000,,)
19:31:24.817 | [master] | [pool-12-thread-1] | INFO  | com.example.util.ClusterUtils$ | roles=List(frontend)
19:31:24.817 | [master] | [pool-12-thread-1] | INFO  | com.example.util.ClusterUtils$ | seeds:
19:31:24.818 | [master] | [pool-12-thread-1] | INFO  | com.example.util.ClusterUtils$ |  akka.tcp://ClusterSystem@192.168.10.200:2551
19:31:24.819 | [master] | [pool-12-thread-1] | INFO  | com.example.util.ClusterUtils$ |  akka.tcp://ClusterSystem@192.168.10.200:5000
19:31:24.821 | [master] | [pool-12-thread-1] | INFO  | com.example.util.ClusterUtils$ |  akka.tcp://ClusterSystem@192.168.10.200:3000
19:31:24.821 | [master] | [pool-12-thread-1] | INFO  | com.example.util.ClusterUtils$ | [34m-------------------------------[0m
19:31:24.821 | [master] | [pool-12-thread-1] | INFO  | com.example.util.ClusterUtils$ | [32m---[ActorSystemConfig]-------------[0m
19:31:24.822 | [master] | [pool-12-thread-1] | INFO  | com.example.util.ClusterUtils$ | akka.remote.netty.tcp.hostname=Success(192.168.10.202)
19:31:24.823 | [master] | [pool-12-thread-1] | INFO  | com.example.util.ClusterUtils$ | akka.remote.netty.tcp.port=Success(2551)
19:31:24.824 | [master] | [pool-12-thread-1] | INFO  | com.example.util.ClusterUtils$ | akka.cluster.roles=Success([frontend])
19:31:24.826 | [master] | [pool-12-thread-1] | INFO  | com.example.util.ClusterUtils$ | akka.remote.netty.tcp.bind-hostname=Success()
19:31:24.827 | [master] | [pool-12-thread-1] | INFO  | com.example.util.ClusterUtils$ | akka.remote.netty.tcp.bind-port=Success()
19:31:24.827 | [master] | [pool-12-thread-1] | INFO  | com.example.util.ClusterUtils$ | akka.cluster.seed-nodes=
19:31:24.828 | [master] | [pool-12-thread-1] | INFO  | com.example.util.ClusterUtils$ |  akka.tcp://ClusterSystem@192.168.10.200:2551
19:31:24.829 | [master] | [pool-12-thread-1] | INFO  | com.example.util.ClusterUtils$ |  akka.tcp://ClusterSystem@192.168.10.200:5000
