19:41:46.726 | [worker] | [pool-12-thread-7] | INFO  | com.example.util.EC2Utils$ | isStaticConfig = true
19:41:46.756 | [worker] | [pool-12-thread-7] | INFO  | com.example.util.ClusterUtils$ | using config without binds
19:41:46.758 | [worker] | [pool-12-thread-7] | INFO  | com.example.util.ClusterUtils$ | [34m---[ClusterConfig]-------------[0m
19:41:46.767 | [worker] | [pool-12-thread-7] | INFO  | com.example.util.ClusterUtils$ | current=NodeConfig(192.168.10.202,3000,,)
19:41:46.768 | [worker] | [pool-12-thread-7] | INFO  | com.example.util.ClusterUtils$ | name=ClusterSystem
19:41:46.769 | [worker] | [pool-12-thread-7] | INFO  | com.example.util.ClusterUtils$ | NodeConfig(192.168.10.202,2551,,)
19:41:46.770 | [worker] | [pool-12-thread-7] | INFO  | com.example.util.ClusterUtils$ | NodeConfig(192.168.10.202,5000,,)
19:41:46.770 | [worker] | [pool-12-thread-7] | INFO  | com.example.util.ClusterUtils$ | NodeConfig(192.168.10.202,3000,,)
19:41:46.771 | [worker] | [pool-12-thread-7] | INFO  | com.example.util.ClusterUtils$ | roles=List(worker)
19:41:46.771 | [worker] | [pool-12-thread-7] | INFO  | com.example.util.ClusterUtils$ | seeds:
19:41:46.772 | [worker] | [pool-12-thread-7] | INFO  | com.example.util.ClusterUtils$ |  akka.tcp://ClusterSystem@192.168.10.202:2551
19:41:46.773 | [worker] | [pool-12-thread-7] | INFO  | com.example.util.ClusterUtils$ |  akka.tcp://ClusterSystem@192.168.10.202:5000
19:41:46.773 | [worker] | [pool-12-thread-7] | INFO  | com.example.util.ClusterUtils$ |  akka.tcp://ClusterSystem@192.168.10.202:3000
19:41:46.773 | [worker] | [pool-12-thread-7] | INFO  | com.example.util.ClusterUtils$ | [34m-------------------------------[0m
19:41:46.773 | [worker] | [pool-12-thread-7] | INFO  | com.example.util.ClusterUtils$ | [32m---[ActorSystemConfig]-------------[0m
19:41:46.775 | [worker] | [pool-12-thread-7] | INFO  | com.example.util.ClusterUtils$ | akka.remote.netty.tcp.hostname=Success(192.168.10.202)
19:41:46.776 | [worker] | [pool-12-thread-7] | INFO  | com.example.util.ClusterUtils$ | akka.remote.netty.tcp.port=Success(3000)
19:41:46.777 | [worker] | [pool-12-thread-7] | INFO  | com.example.util.ClusterUtils$ | akka.cluster.roles=Success([worker])
19:41:46.778 | [worker] | [pool-12-thread-7] | INFO  | com.example.util.ClusterUtils$ | akka.remote.netty.tcp.bind-hostname=Success()
19:41:46.780 | [worker] | [pool-12-thread-7] | INFO  | com.example.util.ClusterUtils$ | akka.remote.netty.tcp.bind-port=Success()
19:41:46.780 | [worker] | [pool-12-thread-7] | INFO  | com.example.util.ClusterUtils$ | akka.cluster.seed-nodes=
19:41:46.781 | [worker] | [pool-12-thread-7] | INFO  | com.example.util.ClusterUtils$ |  akka.tcp://ClusterSystem@192.168.10.202:2551
19:41:46.781 | [worker] | [pool-12-thread-7] | INFO  | com.example.util.ClusterUtils$ |  akka.tcp://ClusterSystem@192.168.10.202:5000
19:41:46.781 | [worker] | [pool-12-thread-7] | INFO  | com.example.util.ClusterUtils$ |  akka.tcp://ClusterSystem@192.168.10.202:3000
19:41:46.781 | [worker] | [pool-12-thread-7] | INFO  | com.example.util.ClusterUtils$ | [32m-----------------------------------[0m
19:41:47.418 | [worker] | [ClusterSystem-akka.actor.default-dispatcher-5] | INFO  | akka.event.slf4j.Slf4jLogger | Slf4jLogger started
19:41:47.681 | [worker] | [ClusterSystem-akka.actor.default-dispatcher-5] | INFO  | akka.remote.Remoting | Starting remoting
19:41:48.435 | [worker] | [ClusterSystem-akka.actor.default-dispatcher-5] | INFO  | akka.remote.Remoting | Remoting started; listening on addresses :[akka.tcp://ClusterSystem@192.168.10.202:3000]
19:41:48.467 | [worker] | [ClusterSystem-akka.actor.default-dispatcher-5] | INFO  | a.c.Cluster(akka://ClusterSystem) | Cluster Node [akka.tcp://ClusterSystem@192.168.10.202:3000] - Starting up...
19:41:48.634 | [worker] | [ClusterSystem-akka.actor.default-dispatcher-5] | INFO  | a.c.Cluster(akka://ClusterSystem) | Cluster Node [akka.tcp://ClusterSystem@192.168.10.202:3000] - Registered cluster JMX MBean [akka:type=Cluster,port=3000]
19:41:48.634 | [worker] | [ClusterSystem-akka.actor.default-dispatcher-5] | INFO  | a.c.Cluster(akka://ClusterSystem) | Cluster Node [akka.tcp://ClusterSystem@192.168.10.202:3000] - Started up successfully
